,PN,REF,ISD,CPC,IPC,b_cits
0,4965743,157,1990-10-23,6,4,"['4642782', '4649515', '4658370', '4675829', '4796194']"
1,4922432,174,1990-05-01,2,2,"['4635208', '4638442', '4648044', '4651284', '4656603', '4658370', '4675829', '4700317', '4703435', '4803636']"
2,4918621,20,1990-04-17,1,2,['4675829']
3,4890240,36,1989-12-26,1,3,['NULL']
4,4866628,54,1989-09-12,8,6,['NULL']
5,4850005,34,1989-07-18,5,7,"['4488005', '4653097']"
6,4827418,31,1989-05-02,3,4,"['3775767', '4063073', '4104512', '4649388', '4706198']"
7,4815005,41,1989-03-21,1,3,"['4651284', '4670848', '4675829', '4730259', '4734856']"
8,4803040,14,1989-02-07,4,3,"['4415524', '4459259', '4591983', '4648044', '4658370', '4713775']"
9,4748439,30,1988-05-31,2,4,['NULL']
10,4736306,82,1988-04-05,3,4,"['3534396', '3548173', '4393450', '4523270', '4530046', '4551810', '4556957', '4569014', '4617623', '4618924', '4641270']"
11,4698751,40,1987-10-06,1,3,"['3568156', '4041461', '4210962', '4286330', '4290115', '4450520', '4490811', '4493048', '4533993']"
12,4670848,253,1987-06-02,2,4,['NULL']
13,4658372,17,1987-04-14,5,3,"['3964064', '4062012', '4209853', '4320400', '4326259', '4388491', '4396903', '4453218']"
14,5629986,24,1997-05-13,33,11,"['4122303', '4153815', '4417098', '4473906', '4477505', '4489441', '4490841', '4506380', '4527282', '4562589', '4566118', '4600863', '4649505', '4654871', '4677676', '4677677', '4862506', '4947435', '5022082', '5039073', '5052529', '5245664', '5418858']"
15,5629862,11,1997-05-13,2,2,"['3833927', '4644479']"
16,5602906,79,1997-02-11,3,3,['NULL']
17,5581694,35,1996-12-03,1,2,['NULL']
18,5577185,49,1996-11-19,6,4,"['4884972', '5261820', '5287446', '5377997', '5395242', '5425139', '5430835']"
19,5546507,68,1996-08-13,1,3,"['4752889', '4754410', '4803641', '4891766', '5107497', '5107499', '5119318', '5133045', '5140671', '5261037', '5319740']"
20,5511146,7,1996-04-23,1,2,['NULL']
21,5510859,24,1996-04-23,2,2,"['4074191', '4364094', '4408227', '4700222', '5161187', '5319709']"
22,5499030,44,1996-03-12,4,7,"['3995270', '4749994', '4970660', '5063607', '5075856', '5093665']"
23,5495576,924,1996-02-27,26,3,['NULL']
24,5473732,150,1995-12-05,2,4,"['4935876', '4972328', '5034898', '5043915', '5107499', '5222197', '5225988', '5259067', '5263126', '5295230', '5325465']"
25,5467268,228,1995-11-14,7,2,"['4092718', '4212069', '4799162', '4937743', '5099431', '5122959', '5177684', '5241465', '5255181', '5295065', '5325292']"
26,5457626,18,1995-10-10,11,7,['NULL']
27,5424959,68,1995-06-13,5,4,"['3394139', '4877583']"
28,5418858,23,1995-05-23,33,10,"['4122303', '4153815', '4417098', '4473906', '4477505', '4489441', '4490841', '4527282', '4562589', '4566118', '4600863', '4649505', '4654871', '4677676', '4677677', '4862506', '4947435', '5039073', '5052529']"
29,5416892,54,1995-05-16,4,6,['NULL']
30,5414647,32,1995-05-09,1,2,['NULL']
31,5412758,23,1995-05-02,1,3,"['4920499', '4954964']"
32,5412756,311,1995-05-02,1,3,['NULL']
33,5404161,85,1995-04-04,2,2,"['3312900', '3639686', '3864636', '4020419', '4044376', '4058829', '4216497', '4270212', '4331973', '4331974', '4425578', '4509203', '4561112', '4577220', '4622583', '4630108', '4633315', '4723302', '4736390', '4764808', '4783843', '4789897', '4847685', '4876736', '4878245', '4885632', '4929905', '5193216']"
34,5402526,28,1995-03-28,1,3,['']
35,5402524,42,1995-03-28,1,3,['']
36,5398304,11,1995-03-14,1,3,['NULL']
37,5392320,31,1995-02-21,5,2,"['4678622', '4997617', '5009833', '5023045', '5118461', '5169592', '5223207']"
